hfdst;icd_code;diagnose;nis_code;arrondissement_van_woonplaats_van_de_patiënt;klass_hosp;dag_hosp
4 - Ziekten van bloed en bloedvormende organen (280-289);282;Hereditaire hemolytische anemieën;63.0;Verviers;22;52
4 - Ziekten van bloed en bloedvormende organen (280-289);282;Hereditaire hemolytische anemieën;64.0;Borgworm;< 5;14
4 - Ziekten van bloed en bloedvormende organen (280-289);282;Hereditaire hemolytische anemieën;71.0;Hasselt;7;46
4 - Ziekten van bloed en bloedvormende organen (280-289);282;Hereditaire hemolytische anemieën;72.0;Maaseik;< 5;15
4 - Ziekten van bloed en bloedvormende organen (280-289);282;Hereditaire hemolytische anemieën;73.0;Tongeren;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);282;Hereditaire hemolytische anemieën;81.0;Aarlen;0;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);282;Hereditaire hemolytische anemieën;82.0;Bastenaken;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);282;Hereditaire hemolytische anemieën;83.0;Marche-en-Famenne;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);282;Hereditaire hemolytische anemieën;84.0;Neufchâteau;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);282;Hereditaire hemolytische anemieën;85.0;Virton;0;13
4 - Ziekten van bloed en bloedvormende organen (280-289);282;Hereditaire hemolytische anemieën;91.0;Dinant;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);282;Hereditaire hemolytische anemieën;92.0;Namen;10;43
4 - Ziekten van bloed en bloedvormende organen (280-289);282;Hereditaire hemolytische anemieën;93.0;Philippeville;< 5;9
4 - Ziekten van bloed en bloedvormende organen (280-289);282;Hereditaire hemolytische anemieën;99.0;Zonder vast verblijf;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;0.0;Buitenlands verblijf;6;27
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;11.0;Antwerpen;22;28
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;12.0;Mechelen;16;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;13.0;Turnhout;13;6
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;21.0;Brussel-Hoofdstad;33;52
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;23.0;Halle-Vilvoorde;13;9
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;24.0;Leuven;14;5
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;25.0;Nijvel;10;9
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;31.0;Brugge;10;35
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;32.0;Diksmuide;< 5;23
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;33.0;Ieper;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;34.0;Kortrijk;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;35.0;Oostende;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;37.0;Tielt;7;5
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;38.0;Veurne;5;8
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;41.0;Aalst;< 5;16
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;42.0;Dendermonde;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;43.0;Eeklo;7;0
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;44.0;Gent;16;15
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;45.0;Oudenaarde;5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;46.0;Sint-Niklaas;6;26
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;51.0;Aat;< 5;27
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;52.0;Charleroi;16;13
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;53.0;Bergen;< 5;14
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;54.0;Moeskroen;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;55.0;Zinnik;< 5;17
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;56.0;Thuin;12;5
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;57.0;Doornik;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;61.0;Hoei;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;62.0;Luik;12;11
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;63.0;Verviers;5;12
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;64.0;Borgworm;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;71.0;Hasselt;10;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;72.0;Maaseik;< 5;10
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;73.0;Tongeren;< 5;14
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;81.0;Aarlen;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;82.0;Bastenaken;< 5;26
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;83.0;Marche-en-Famenne;0;15
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;84.0;Neufchâteau;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;85.0;Virton;< 5;5
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;91.0;Dinant;5;17
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;92.0;Namen;7;10
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;93.0;Philippeville;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);283;Verworven hemolytische anemieën;99.0;Zonder vast verblijf;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;0.0;Buitenlands verblijf;9;65
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;11.0;Antwerpen;61;170
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;12.0;Mechelen;20;34
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;13.0;Turnhout;21;40
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;21.0;Brussel-Hoofdstad;81;83
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;23.0;Halle-Vilvoorde;40;80
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;24.0;Leuven;32;16
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;25.0;Nijvel;22;29
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;31.0;Brugge;15;27
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;32.0;Diksmuide;< 5;5
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;33.0;Ieper;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;34.0;Kortrijk;25;21
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;35.0;Oostende;15;27
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;36.0;Roeselare;13;23
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;37.0;Tielt;5;27
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;38.0;Veurne;6;13
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;41.0;Aalst;14;24
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;42.0;Dendermonde;13;30
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;43.0;Eeklo;8;10
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;44.0;Gent;32;98
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;45.0;Oudenaarde;< 5;6
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;46.0;Sint-Niklaas;14;30
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;51.0;Aat;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;52.0;Charleroi;42;150
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;53.0;Bergen;17;40
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;54.0;Moeskroen;< 5;22
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;55.0;Zinnik;11;31
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;56.0;Thuin;14;25
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;57.0;Doornik;12;20
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;61.0;Hoei;15;42
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;62.0;Luik;59;226
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;63.0;Verviers;31;47
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;64.0;Borgworm;5;17
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;71.0;Hasselt;33;146
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;72.0;Maaseik;18;70
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;73.0;Tongeren;13;158
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;81.0;Aarlen;23;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;82.0;Bastenaken;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;83.0;Marche-en-Famenne;7;56
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;84.0;Neufchâteau;< 5;10
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;85.0;Virton;16;103
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;91.0;Dinant;6;37
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;92.0;Namen;16;39
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;93.0;Philippeville;12;5
4 - Ziekten van bloed en bloedvormende organen (280-289);284;Aplastische anemie;99.0;Zonder vast verblijf;0;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;0.0;Buitenlands verblijf;30;97
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;11.0;Antwerpen;304;806
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;12.0;Mechelen;97;222
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;13.0;Turnhout;100;459
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;21.0;Brussel-Hoofdstad;328;778
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;23.0;Halle-Vilvoorde;159;538
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;24.0;Leuven;130;284
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;25.0;Nijvel;106;461
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;31.0;Brugge;81;431
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;32.0;Diksmuide;10;49
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;33.0;Ieper;40;94
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;34.0;Kortrijk;87;190
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;35.0;Oostende;64;211
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;36.0;Roeselare;26;96
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;37.0;Tielt;40;117
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;38.0;Veurne;12;67
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;41.0;Aalst;79;510
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;42.0;Dendermonde;56;324
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;43.0;Eeklo;38;70
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;44.0;Gent;132;520
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;45.0;Oudenaarde;33;137
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;46.0;Sint-Niklaas;82;424
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;51.0;Aat;15;70
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;52.0;Charleroi;150;290
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;53.0;Bergen;74;108
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;54.0;Moeskroen;14;105
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;55.0;Zinnik;61;92
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;56.0;Thuin;41;117
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;57.0;Doornik;53;250
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;61.0;Hoei;62;106
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;62.0;Luik;223;550
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;63.0;Verviers;73;275
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;64.0;Borgworm;46;113
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;71.0;Hasselt;93;792
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;72.0;Maaseik;69;280
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;73.0;Tongeren;58;224
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;81.0;Aarlen;13;99
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;82.0;Bastenaken;14;39
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;83.0;Marche-en-Famenne;18;47
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;84.0;Neufchâteau;33;77
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;85.0;Virton;29;78
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;91.0;Dinant;40;135
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;92.0;Namen;116;300
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;93.0;Philippeville;24;71
4 - Ziekten van bloed en bloedvormende organen (280-289);285;Andere en niet gespecificeerde anemieën;99.0;Zonder vast verblijf;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;0.0;Buitenlands verblijf;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;11.0;Antwerpen;8;6
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;12.0;Mechelen;8;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;13.0;Turnhout;< 5;23
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;21.0;Brussel-Hoofdstad;14;16
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;23.0;Halle-Vilvoorde;5;70
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;24.0;Leuven;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;25.0;Nijvel;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;31.0;Brugge;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;33.0;Ieper;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;34.0;Kortrijk;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;35.0;Oostende;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;37.0;Tielt;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;38.0;Veurne;0;14
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;41.0;Aalst;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;42.0;Dendermonde;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;43.0;Eeklo;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;44.0;Gent;9;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;45.0;Oudenaarde;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;46.0;Sint-Niklaas;0;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;52.0;Charleroi;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;53.0;Bergen;< 5;6
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;54.0;Moeskroen;0;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;56.0;Thuin;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;57.0;Doornik;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;61.0;Hoei;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;62.0;Luik;7;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;63.0;Verviers;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;71.0;Hasselt;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;72.0;Maaseik;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;73.0;Tongeren;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;84.0;Neufchâteau;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;85.0;Virton;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);286;Stollingsdeficiëntie;92.0;Namen;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;0.0;Buitenlands verblijf;17;10
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;11.0;Antwerpen;78;130
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;12.0;Mechelen;29;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;13.0;Turnhout;41;33
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;21.0;Brussel-Hoofdstad;152;156
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;23.0;Halle-Vilvoorde;62;64
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;24.0;Leuven;44;10
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;25.0;Nijvel;48;60
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;31.0;Brugge;30;136
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;32.0;Diksmuide;< 5;15
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;33.0;Ieper;9;17
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;34.0;Kortrijk;40;59
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;35.0;Oostende;14;34
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;36.0;Roeselare;18;74
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;37.0;Tielt;13;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;38.0;Veurne;7;18
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;41.0;Aalst;40;26
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;42.0;Dendermonde;14;14
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;43.0;Eeklo;12;40
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;44.0;Gent;49;100
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;45.0;Oudenaarde;11;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;46.0;Sint-Niklaas;27;24
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;51.0;Aat;11;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;52.0;Charleroi;62;84
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;53.0;Bergen;25;28
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;54.0;Moeskroen;8;12
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;55.0;Zinnik;39;7
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;56.0;Thuin;21;53
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;57.0;Doornik;19;14
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;61.0;Hoei;8;22
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;62.0;Luik;76;183
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;63.0;Verviers;31;20
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;64.0;Borgworm;11;46
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;71.0;Hasselt;40;11
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;72.0;Maaseik;21;34
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;73.0;Tongeren;45;21
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;81.0;Aarlen;13;6
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;82.0;Bastenaken;< 5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;83.0;Marche-en-Famenne;10;0
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;84.0;Neufchâteau;9;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;85.0;Virton;5;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;91.0;Dinant;7;9
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;92.0;Namen;27;34
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;93.0;Philippeville;8;10
4 - Ziekten van bloed en bloedvormende organen (280-289);287;Purpura en andere hemorragische aandoeningen;99.0;Zonder vast verblijf;< 5;0
4 - Ziekten van bloed en bloedvormende organen (280-289);288;Aandoeningen van de witte bloedcellen;0.0;Buitenlands verblijf;45;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);288;Aandoeningen van de witte bloedcellen;11.0;Antwerpen;250;12
4 - Ziekten van bloed en bloedvormende organen (280-289);288;Aandoeningen van de witte bloedcellen;12.0;Mechelen;85;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);288;Aandoeningen van de witte bloedcellen;13.0;Turnhout;90;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);288;Aandoeningen van de witte bloedcellen;21.0;Brussel-Hoofdstad;279;25
4 - Ziekten van bloed en bloedvormende organen (280-289);288;Aandoeningen van de witte bloedcellen;23.0;Halle-Vilvoorde;152;10
4 - Ziekten van bloed en bloedvormende organen (280-289);288;Aandoeningen van de witte bloedcellen;24.0;Leuven;149;< 5
4 - Ziekten van bloed en bloedvormende organen (280-289);288;Aandoeningen van de witte bloedcellen;25.0;Nijvel;125;7
4 - Ziekten van bloed en bloedvormende organen (280-289);288;Aandoeningen van de witte bloedcellen;31.0;Brugge;67;5
4 - Ziekten van bloed en bloedvormende organen (280-289);288;Aandoeningen van de witte bloedcellen;32.0;Diksmuide;16;0
4 - Ziekten van bloed en bloedvormende organen (280-289);288;Aandoeningen van de witte bloedcellen;33.0;Ieper;27;0
4 - Ziekten van bloed en bloedvormende organen (280-289);288;Aandoeningen van de witte bloedcellen;34.0;Kortrijk;69;< 5
