chap;code_icd;diagnostic;code_ins;arrondissement_du_domicile_du_patient;hosp_class;hosp_de_jour
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;38.0;Furnes;10;186
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;41.0;Alost;21;896
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;42.0;Termonde;19;710
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;43.0;Eeklo;16;277
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;44.0;Gand;49;1419
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;45.0;Audenarde;20;380
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;46.0;Saint-Nicolas;25;724
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;51.0;Ath;7;240
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;52.0;Charleroi;61;1860
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;53.0;Mons;27;490
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;54.0;Mouscron;5;223
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;55.0;Soignies;24;804
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;56.0;Thuin;30;647
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;57.0;Tournai;19;450
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;61.0;Huy;13;412
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;62.0;Liège;70;2169
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;63.0;Verviers;53;869
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;64.0;Waremme;< 5;276
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;71.0;Hasselt;58;1452
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;72.0;Maaseik;16;902
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;73.0;Tongres;37;737
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;81.0;Arlon;< 5;157
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;82.0;Bastogne;< 5;239
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;83.0;Marche-en-Famenne;6;319
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;84.0;Neufchâteau;5;229
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;85.0;Virton;11;185
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;91.0;Dinant;8;402
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;92.0;Namur;14;1017
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;93.0;Philippeville;15;273
6 - Maladies du système nerveux et des organes des sens (320-389);354;Mononévrites du membre supérieur et mononévrites multiples;99.0;Sans domicile fixe;< 5;5
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;0.0;Domicile étranger;18;25
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;11.0;Anvers;53;107
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;12.0;Malines;27;44
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;13.0;Turnhout;32;62
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;21.0;Bruxelles-Capitale;30;72
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;23.0;Hal-Vilvorde;25;48
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;24.0;Louvain;17;31
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;25.0;Nivelles;9;12
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;31.0;Bruges;16;74
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;32.0;Dixmude;5;9
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;33.0;Ypres;6;19
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;34.0;Courtrai;18;43
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;35.0;Ostende;31;21
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;36.0;Roulers;15;39
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;37.0;Tielt;< 5;26
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;38.0;Furnes;11;18
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;41.0;Alost;7;30
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;42.0;Termonde;11;25
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;43.0;Eeklo;5;28
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;44.0;Gand;23;77
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;45.0;Audenarde;6;22
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;46.0;Saint-Nicolas;11;44
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;51.0;Ath;9;8
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;52.0;Charleroi;12;17
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;53.0;Mons;9;17
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;54.0;Mouscron;8;8
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;55.0;Soignies;13;5
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;56.0;Thuin;11;8
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;57.0;Tournai;6;21
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;61.0;Huy;10;21
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;62.0;Liège;94;162
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;63.0;Verviers;32;26
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;64.0;Waremme;10;13
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;71.0;Hasselt;28;71
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;72.0;Maaseik;10;55
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;73.0;Tongres;10;62
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;81.0;Arlon;< 5;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;82.0;Bastogne;6;8
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;83.0;Marche-en-Famenne;5;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;84.0;Neufchâteau;< 5;5
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;85.0;Virton;5;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;91.0;Dinant;12;15
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;92.0;Namur;15;23
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;93.0;Philippeville;< 5;8
6 - Maladies du système nerveux et des organes des sens (320-389);355;Mononévrite du membre inférieur;99.0;Sans domicile fixe;0;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;0.0;Domicile étranger;19;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;11.0;Anvers;70;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;12.0;Malines;21;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;13.0;Turnhout;11;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;21.0;Bruxelles-Capitale;58;10
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;23.0;Hal-Vilvorde;26;12
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;24.0;Louvain;17;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;25.0;Nivelles;29;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;31.0;Bruges;25;6
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;32.0;Dixmude;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;33.0;Ypres;10;7
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;34.0;Courtrai;14;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;35.0;Ostende;13;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;36.0;Roulers;16;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;37.0;Tielt;6;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;38.0;Furnes;5;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;41.0;Alost;11;21
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;42.0;Termonde;9;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;43.0;Eeklo;14;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;44.0;Gand;37;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;45.0;Audenarde;14;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;46.0;Saint-Nicolas;17;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;51.0;Ath;10;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;52.0;Charleroi;23;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;53.0;Mons;12;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;54.0;Mouscron;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;55.0;Soignies;14;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;56.0;Thuin;8;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;57.0;Tournai;5;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;61.0;Huy;< 5;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;62.0;Liège;38;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;63.0;Verviers;12;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;64.0;Waremme;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;71.0;Hasselt;26;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;72.0;Maaseik;20;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;73.0;Tongres;18;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;81.0;Arlon;8;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;82.0;Bastogne;6;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;83.0;Marche-en-Famenne;5;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;84.0;Neufchâteau;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;85.0;Virton;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;91.0;Dinant;9;0
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;92.0;Namur;20;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);356;Neuropathie périphérique héréditaire ou idiopathique;93.0;Philippeville;6;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;0.0;Domicile étranger;38;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;11.0;Anvers;139;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;12.0;Malines;26;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;13.0;Turnhout;99;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;21.0;Bruxelles-Capitale;96;54
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;23.0;Hal-Vilvorde;106;15
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;24.0;Louvain;66;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;25.0;Nivelles;37;24
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;31.0;Bruges;52;22
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;32.0;Dixmude;7;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;33.0;Ypres;28;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;34.0;Courtrai;92;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;35.0;Ostende;67;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;36.0;Roulers;73;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;37.0;Tielt;21;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;38.0;Furnes;21;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;41.0;Alost;40;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;42.0;Termonde;41;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;43.0;Eeklo;22;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;44.0;Gand;108;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;45.0;Audenarde;39;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;46.0;Saint-Nicolas;54;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;51.0;Ath;8;10
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;52.0;Charleroi;49;26
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;53.0;Mons;16;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;54.0;Mouscron;9;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;55.0;Soignies;18;12
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;56.0;Thuin;12;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;57.0;Tournai;18;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;61.0;Huy;47;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;62.0;Liège;176;5
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;63.0;Verviers;85;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;64.0;Waremme;5;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;71.0;Hasselt;88;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;72.0;Maaseik;39;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;73.0;Tongres;22;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;81.0;Arlon;11;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;82.0;Bastogne;11;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;83.0;Marche-en-Famenne;23;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;84.0;Neufchâteau;15;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;85.0;Virton;17;0
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;91.0;Dinant;14;7
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;92.0;Namur;47;19
6 - Maladies du système nerveux et des organes des sens (320-389);357;Neuropathie inflammatoire ou toxique;93.0;Philippeville;15;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;0.0;Domicile étranger;18;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;11.0;Anvers;32;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;12.0;Malines;8;7
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;13.0;Turnhout;10;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;21.0;Bruxelles-Capitale;17;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;23.0;Hal-Vilvorde;19;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;24.0;Louvain;14;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;25.0;Nivelles;11;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;31.0;Bruges;7;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;32.0;Dixmude;< 5;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;33.0;Ypres;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;34.0;Courtrai;6;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;35.0;Ostende;6;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;36.0;Roulers;5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;37.0;Tielt;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;38.0;Furnes;< 5;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;41.0;Alost;5;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;42.0;Termonde;5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;43.0;Eeklo;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;44.0;Gand;17;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;45.0;Audenarde;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;46.0;Saint-Nicolas;5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;51.0;Ath;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;52.0;Charleroi;8;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;53.0;Mons;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;54.0;Mouscron;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;55.0;Soignies;10;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;56.0;Thuin;6;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;57.0;Tournai;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;61.0;Huy;< 5;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;62.0;Liège;14;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;63.0;Verviers;8;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;64.0;Waremme;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;71.0;Hasselt;8;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;72.0;Maaseik;12;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;73.0;Tongres;9;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;81.0;Arlon;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;84.0;Neufchâteau;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;85.0;Virton;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;91.0;Dinant;7;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;92.0;Namur;6;0
6 - Maladies du système nerveux et des organes des sens (320-389);358;Troubles neuromusculaires;93.0;Philippeville;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;0.0;Domicile étranger;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;11.0;Anvers;30;7
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;12.0;Malines;23;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;13.0;Turnhout;16;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;21.0;Bruxelles-Capitale;29;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;23.0;Hal-Vilvorde;12;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;24.0;Louvain;18;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;25.0;Nivelles;11;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;31.0;Bruges;< 5;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;32.0;Dixmude;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;33.0;Ypres;6;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;34.0;Courtrai;15;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;35.0;Ostende;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;36.0;Roulers;< 5;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;37.0;Tielt;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;38.0;Furnes;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;41.0;Alost;< 5;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;42.0;Termonde;< 5;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;43.0;Eeklo;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;44.0;Gand;14;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;45.0;Audenarde;5;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;46.0;Saint-Nicolas;9;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;51.0;Ath;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;52.0;Charleroi;10;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;53.0;Mons;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;55.0;Soignies;5;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;56.0;Thuin;< 5;< 5
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;57.0;Tournai;< 5;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;61.0;Huy;5;0
6 - Maladies du système nerveux et des organes des sens (320-389);359;Dystrophies musculaires et autres myopathies;62.0;Liège;34;< 5
